C:\WPy-3702\python-3.7.0.amd64\python.exe "C:/Users/Motaz Saad/PycharmProjects/lexicon-based-sa-unemployment/find_overlaps.py"
['emoji_neg.txt', 'emoji_pos.txt', 'emoji_very_neg.txt', 'emoji_very_pos.txt', 'neg.txt', 'negations.txt', 'phrases_neg.txt', 'phrases_pos .txt', 'pos.txt', 'proverbs.txt', 'questions.txt', 'special_phrases.txt', 'support_words.txt', 'very_neg.txt', 'very_pos.txt']
😔 emoji_neg.txt emoji_very_neg.txt
👇 emoji_neg.txt emoji_very_neg.txt
😑 emoji_neg.txt emoji_very_neg.txt
🙁 emoji_neg.txt emoji_very_neg.txt
😐 emoji_neg.txt emoji_very_neg.txt
👌 emoji_pos.txt emoji_very_pos.txt
👍 emoji_pos.txt emoji_very_pos.txt
💚 emoji_pos.txt emoji_very_pos.txt
😐 emoji_very_neg.txt emoji_neg.txt
👇 emoji_very_neg.txt emoji_neg.txt
😑 emoji_very_neg.txt emoji_neg.txt
😔 emoji_very_neg.txt emoji_neg.txt
🙁 emoji_very_neg.txt emoji_neg.txt
👌 emoji_very_pos.txt emoji_pos.txt
👍 emoji_very_pos.txt emoji_pos.txt
💚 emoji_very_pos.txt emoji_pos.txt
الاستغناء neg.txt pos.txt
مختلف neg.txt pos.txt
تبني neg.txt pos.txt
نظيف neg.txt pos.txt
معونتك neg.txt pos.txt
مفتون neg.txt pos.txt
هدف neg.txt pos.txt
نحلم neg.txt pos.txt
الاكتفاء neg.txt pos.txt
معفيين neg.txt pos.txt
فتنه neg.txt pos.txt
نصيب neg.txt pos.txt
مطلب neg.txt pos.txt
مكتفين neg.txt pos.txt
قضيتنا neg.txt pos.txt
مكتفي neg.txt pos.txt
يدافعون neg.txt pos.txt
مكتفيه neg.txt pos.txt
نفع neg.txt pos.txt
فاتن neg.txt pos.txt
يفتنون neg.txt pos.txt
شهامه neg.txt pos.txt
مساواتنا neg.txt pos.txt
نجس neg.txt very_neg.txt
فجرونا neg.txt very_neg.txt
مجحفات neg.txt very_neg.txt
متبليات neg.txt very_neg.txt
وضيعه neg.txt very_neg.txt
محبطه neg.txt very_neg.txt
جاهلين neg.txt very_neg.txt
الاجحاف neg.txt very_neg.txt
فاسدين neg.txt very_neg.txt
العقبات neg.txt very_neg.txt
ابتلاء neg.txt very_neg.txt
ترفض neg.txt very_neg.txt
مستغلينا neg.txt very_neg.txt
بلوه neg.txt very_neg.txt
المصيبه neg.txt very_neg.txt
محاربين neg.txt very_neg.txt
وصخه neg.txt very_neg.txt
اجحافكم neg.txt very_neg.txt
تخريب neg.txt very_neg.txt
يخذلونا neg.txt very_neg.txt
مؤلمه neg.txt very_neg.txt
جشع neg.txt very_neg.txt
قذر neg.txt very_neg.txt
الرشوه neg.txt very_neg.txt
مهانات neg.txt very_neg.txt
حرق neg.txt very_neg.txt
مظلومات neg.txt very_neg.txt
متبلين neg.txt very_neg.txt
مهزله neg.txt very_neg.txt
مفسدين neg.txt very_neg.txt
دايسين neg.txt very_neg.txt
نلوم neg.txt very_neg.txt
الم neg.txt very_neg.txt
طردونا neg.txt very_neg.txt
باغضين neg.txt very_neg.txt
خطر neg.txt very_neg.txt
مجرمه neg.txt very_neg.txt
جرايم neg.txt very_neg.txt
مراره neg.txt very_neg.txt
الفشل neg.txt very_neg.txt
تشاؤم neg.txt very_neg.txt
الفقر neg.txt very_neg.txt
إستغلال neg.txt very_neg.txt
تهمشني neg.txt very_neg.txt
تهميشي neg.txt very_neg.txt
يؤلم neg.txt very_neg.txt
مهانه neg.txt very_neg.txt
مجهوله neg.txt very_neg.txt
شحاتين neg.txt very_neg.txt
منخرعات neg.txt very_neg.txt
خرعوني neg.txt very_neg.txt
تعجيزيه neg.txt very_neg.txt
تدمير neg.txt very_neg.txt
فشلوا neg.txt very_neg.txt
معفنه neg.txt very_neg.txt
تهميش neg.txt very_neg.txt
مجحفه neg.txt very_neg.txt
مجحود neg.txt very_neg.txt
يعجز neg.txt very_neg.txt
اعدائهم neg.txt very_neg.txt
تجاهل neg.txt very_neg.txt
توصيخ neg.txt very_neg.txt
بشعة neg.txt very_neg.txt
الاسف neg.txt very_neg.txt
محارب neg.txt very_neg.txt
كوارث neg.txt very_neg.txt
يعجزون neg.txt very_neg.txt
يتبلونا neg.txt very_neg.txt
مظلومه neg.txt very_neg.txt
مطرود neg.txt very_neg.txt
يطس neg.txt very_neg.txt
منقلع neg.txt very_neg.txt
الجهل neg.txt very_neg.txt
مبغضات neg.txt very_neg.txt
فشلكم neg.txt very_neg.txt
احتلال neg.txt very_neg.txt
يرفض neg.txt very_neg.txt
تهميشنا neg.txt very_neg.txt
منرثع neg.txt very_neg.txt
تسبونا neg.txt very_neg.txt
عجزوا neg.txt very_neg.txt
يعجزنا neg.txt very_neg.txt
يفجرون neg.txt very_neg.txt
طمع neg.txt very_neg.txt
يعجزهم neg.txt very_neg.txt
اهانه neg.txt very_neg.txt
الفساد neg.txt very_neg.txt
الواسطات neg.txt very_neg.txt
جاهل neg.txt very_neg.txt
بلاوي neg.txt very_neg.txt
وضيع neg.txt very_neg.txt
قذره neg.txt very_neg.txt
تشحت neg.txt very_neg.txt
سرقات neg.txt very_neg.txt
مدمر neg.txt very_neg.txt
فاسده neg.txt very_neg.txt
تشويه neg.txt very_neg.txt
عراقيل neg.txt very_neg.txt
معفن neg.txt very_neg.txt
تزوير neg.txt very_neg.txt
عاجزات neg.txt very_neg.txt
يدمر neg.txt very_neg.txt
سفله neg.txt very_neg.txt
مشاكل neg.txt very_neg.txt
متقلعين neg.txt very_neg.txt
رفضهم neg.txt very_neg.txt
سرقه neg.txt very_neg.txt
حقير neg.txt very_neg.txt
مزوره neg.txt very_neg.txt
مخيس neg.txt very_neg.txt
عصابات neg.txt very_neg.txt
عجزو neg.txt very_neg.txt
هاينينكم neg.txt very_neg.txt
خياسكم neg.txt very_neg.txt
كارثه neg.txt very_neg.txt
اقصاء neg.txt very_neg.txt
عاجزنا neg.txt very_neg.txt
مزورين neg.txt very_neg.txt
عاجزين neg.txt very_neg.txt
محتقرينا neg.txt very_neg.txt
تفتقر neg.txt very_neg.txt
سخيف neg.txt very_neg.txt
الواسطه neg.txt very_neg.txt
يهمش neg.txt very_neg.txt
كارثيه neg.txt very_neg.txt
المهم neg.txt very_neg.txt
مظلومين neg.txt very_neg.txt
تحذير neg.txt very_neg.txt
متشائم neg.txt very_neg.txt
باغضات neg.txt very_neg.txt
هزلت neg.txt very_neg.txt
قذارتهم neg.txt very_neg.txt
يهايط neg.txt very_neg.txt
احباط neg.txt very_neg.txt
الرفض neg.txt very_neg.txt
يوصخون neg.txt very_neg.txt
فقر neg.txt very_neg.txt
منتنه neg.txt very_neg.txt
اقصائه neg.txt very_neg.txt
تافه neg.txt very_neg.txt
مجرمين neg.txt very_neg.txt
يغبن neg.txt very_neg.txt
خياس neg.txt very_neg.txt
اوصخ neg.txt very_neg.txt
محبطات neg.txt very_neg.txt
عدوي neg.txt very_neg.txt
فاشل neg.txt very_neg.txt
قذاره neg.txt very_neg.txt
العجز neg.txt very_neg.txt
الفاسدين neg.txt very_neg.txt
تحذيرات neg.txt very_neg.txt
يحاربون neg.txt very_neg.txt
فاسدات neg.txt very_neg.txt
ذنبهم neg.txt very_neg.txt
معطلين neg.txt very_neg.txt
نتنه neg.txt very_neg.txt
سافلين neg.txt very_neg.txt
حقاره neg.txt very_neg.txt
التهميش neg.txt very_neg.txt
يعاني neg.txt very_neg.txt
مستهزيات neg.txt very_neg.txt
تتشائم neg.txt very_neg.txt
تدهور neg.txt very_neg.txt
بالينكم neg.txt very_neg.txt
يعادونها neg.txt very_neg.txt
خذلونا neg.txt very_neg.txt
مخفق neg.txt very_neg.txt
يحتقرونا neg.txt very_neg.txt
مستهزين neg.txt very_neg.txt
يتسولون neg.txt very_neg.txt
بشعين neg.txt very_neg.txt
اعاقه neg.txt very_neg.txt
عاجز neg.txt very_neg.txt
تناقض neg.txt very_neg.txt
ينبحون neg.txt very_neg.txt
يفسدون neg.txt very_neg.txt
مدمره neg.txt very_neg.txt
يوطون neg.txt very_neg.txt
معاق neg.txt very_neg.txt
عقاب neg.txt very_neg.txt
اعدائي neg.txt very_neg.txt
بشاعه neg.txt very_neg.txt
تخبط neg.txt very_neg.txt
أبشع neg.txt very_neg.txt
تخذلنا neg.txt very_neg.txt
منخرع neg.txt very_neg.txt
يحطمون neg.txt very_neg.txt
هدم neg.txt very_neg.txt
بشعات neg.txt very_neg.txt
تخرع neg.txt very_neg.txt
محاربه neg.txt very_neg.txt
التملق neg.txt very_neg.txt
مبتلين neg.txt very_neg.txt
يسبني neg.txt very_neg.txt
بشعه neg.txt very_neg.txt
استغلال neg.txt very_neg.txt
انفجار neg.txt very_neg.txt
عاهات neg.txt very_neg.txt
يجهلون neg.txt very_neg.txt
خذلوني neg.txt very_neg.txt
مستغلينهم neg.txt very_neg.txt
وعاطله neg.txt very_neg.txt
معضله neg.txt very_neg.txt
منفجر neg.txt very_neg.txt
أنانيتهم neg.txt very_neg.txt
عقبات neg.txt very_neg.txt
معفنات neg.txt very_neg.txt
خطوره neg.txt very_neg.txt
يهمشكم neg.txt very_neg.txt
فاسد neg.txt very_neg.txt
حرام neg.txt very_neg.txt
تحبط neg.txt very_neg.txt
نكران neg.txt very_neg.txt
استغفال neg.txt very_neg.txt
جريمه neg.txt very_neg.txt
متشائمه neg.txt very_neg.txt
بؤس neg.txt very_neg.txt
يشتمونا neg.txt very_neg.txt
النار neg.txt very_neg.txt
تعسفيه neg.txt very_neg.txt
مجحفين neg.txt very_neg.txt
اعداء neg.txt very_neg.txt
يرفضون neg.txt very_neg.txt
يسبهم neg.txt very_neg.txt
مجرمات neg.txt very_neg.txt
التخبط neg.txt very_neg.txt
ضاعت neg.txt very_neg.txt
مظلوم neg.txt very_neg.txt
تدمر neg.txt very_neg.txt
جاهلات neg.txt very_neg.txt
عاجزهم neg.txt very_neg.txt
ابشع neg.txt very_neg.txt
بعثرتنا neg.txt very_neg.txt
منخرعين neg.txt very_neg.txt
خدعه neg.txt very_neg.txt
تجاهلونا neg.txt very_neg.txt
دمروكم neg.txt very_neg.txt
اجحافهم neg.txt very_neg.txt
الفاشلين neg.txt very_neg.txt
عداوه neg.txt very_neg.txt
يهمشهم neg.txt very_neg.txt
منخرعه neg.txt very_neg.txt
قاسي neg.txt very_neg.txt
مظلوما neg.txt very_neg.txt
جبان neg.txt very_neg.txt
تهجير neg.txt very_neg.txt
وصخين neg.txt very_neg.txt
يتجاهلونهم neg.txt very_neg.txt
يهمشني neg.txt very_neg.txt
خطير neg.txt very_neg.txt
شحات neg.txt very_neg.txt
تعسف neg.txt very_neg.txt
حرقوا neg.txt very_neg.txt
مهمشات neg.txt very_neg.txt
مبغضين neg.txt very_neg.txt
يتشائم neg.txt very_neg.txt
خياسه neg.txt very_neg.txt
هاينينهم neg.txt very_neg.txt
إحباط neg.txt very_neg.txt
